scan_id,timestamp_s,location,run_id,ssid,channel,rssi,found
1,0.0,Bedroom,run_01,Bedroom,1,-44,1
2,3.0,Bedroom,run_01,Bedroom,1,-43,1
3,7.0,Bedroom,run_01,Bedroom,1,-44,1
4,10.0,Bedroom,run_01,Bedroom,1,-33,1
5,14.0,Bedroom,run_01,Bedroom,1,-32,1
6,17.0,Bedroom,run_01,Bedroom,1,-33,1
7,21.0,Bedroom,run_01,Bedroom,1,-35,1
8,24.0,Bedroom,run_01,Bedroom,1,-34,1
9,28.0,Bedroom,run_01,Bedroom,1,-34,1
10,31.0,Bedroom,run_01,Bedroom,1,-34,1
11,35.0,Bedroom,run_01,Bedroom,1,-33,1
12,38.0,Bedroom,run_01,Bedroom,1,-36,1
13,42.0,Bedroom,run_01,Bedroom,1,-34,1
14,45.0,Bedroom,run_01,Bedroom,1,-36,1
15,49.0,Bedroom,run_01,Bedroom,1,-37,1
16,52.0,Bedroom,run_01,Bedroom,1,-34,1
17,56.0,Bedroom,run_01,Bedroom,1,-36,1
18,60.0,Bedroom,run_01,Bedroom,1,-34,1
19,63.0,Bedroom,run_01,Bedroom,1,-35,1
20,67.0,Bedroom,run_01,Bedroom,1,-38,1
21,70.0,Bedroom,run_01,Bedroom,1,-34,1
22,74.0,Bedroom,run_01,Bedroom,1,-33,1
23,77.0,Bedroom,run_01,Bedroom,1,-34,1
24,81.0,Bedroom,run_01,Bedroom,1,-33,1
25,84.0,Bedroom,run_01,Bedroom,1,-34,1
26,88.0,Bedroom,run_01,Bedroom,1,-33,1
27,91.0,Bedroom,run_01,Bedroom,1,-34,1
28,95.0,Bedroom,run_01,Bedroom,1,-34,1
29,98.0,Bedroom,run_01,Bedroom,1,-33,1
30,102.0,Bedroom,run_01,Bedroom,1,-35,1
31,105.0,Bedroom,run_01,Bedroom,1,-34,1
32,109.0,Bedroom,run_01,Bedroom,1,-33,1
33,112.0,Bedroom,run_01,Bedroom,1,-34,1
34,116.0,Bedroom,run_01,Bedroom,1,-34,1
35,119.0,Bedroom,run_01,Bedroom,1,-34,1
36,123.0,Bedroom,run_01,Bedroom,1,-33,1
37,126.0,Bedroom,run_01,Bedroom,1,-34,1
38,130.0,Bedroom,run_01,Bedroom,1,-34,1
39,133.0,Bedroom,run_01,Bedroom,1,-34,1
40,137.0,Bedroom,run_01,Bedroom,1,-33,1
41,140.0,Bedroom,run_01,Bedroom,1,-33,1
42,144.0,Bedroom,run_01,Bedroom,1,-33,1
43,147.0,Bedroom,run_01,Bedroom,1,-34,1
44,151.0,Bedroom,run_01,Bedroom,1,-34,1
45,154.0,Bedroom,run_01,Bedroom,1,-34,1
46,158.0,Bedroom,run_01,Bedroom,1,-34,1
47,161.0,Bedroom,run_01,Bedroom,1,-34,1
48,165.0,Bedroom,run_01,Bedroom,1,-34,1
49,168.0,Bedroom,run_01,Bedroom,1,-34,1
50,172.0,Bedroom,run_01,Bedroom,1,-33,1
51,175.0,Bedroom,run_01,Bedroom,1,-34,1
52,179.0,Bedroom,run_01,Bedroom,1,-34,1
53,182.0,Bedroom,run_01,Bedroom,1,-34,1
54,186.0,Bedroom,run_01,Bedroom,1,-33,1
55,189.0,Bedroom,run_01,Bedroom,1,-34,1
56,193.0,Bedroom,run_01,Bedroom,1,-34,1
57,196.0,Bedroom,run_01,Bedroom,1,-33,1
58,200.0,Bedroom,run_01,Bedroom,1,-34,1
59,203.0,Bedroom,run_01,Bedroom,1,-34,1
60,207.0,Bedroom,run_01,Bedroom,1,-34,1
61,210.0,Bedroom,run_01,Bedroom,1,-34,1
62,214.0,Bedroom,run_01,Bedroom,1,-34,1
63,217.0,Bedroom,run_01,Bedroom,1,-34,1
64,221.0,Bedroom,run_01,Bedroom,1,-34,1
65,224.0,Bedroom,run_01,Bedroom,1,-34,1
66,228.0,Bedroom,run_01,Bedroom,1,-36,1
67,231.0,Bedroom,run_01,Bedroom,1,-34,1
68,235.0,Bedroom,run_01,Bedroom,1,-34,1
69,239.0,Bedroom,run_01,Bedroom,1,-36,1
70,242.0,Bedroom,run_01,Bedroom,1,-34,1
71,246.0,Bedroom,run_01,Bedroom,1,-34,1
72,249.0,Bedroom,run_01,Bedroom,1,-35,1
73,253.0,Bedroom,run_01,Bedroom,1,-34,1
74,256.0,Bedroom,run_01,Bedroom,1,-34,1
75,260.0,Bedroom,run_01,Bedroom,1,-35,1
76,263.0,Bedroom,run_01,Bedroom,1,-35,1
77,267.0,Bedroom,run_01,Bedroom,1,-36,1
78,270.0,Bedroom,run_01,Bedroom,1,-34,1
79,274.0,Bedroom,run_01,Bedroom,1,-34,1
80,277.0,Bedroom,run_01,Bedroom,1,-36,1
81,281.0,Bedroom,run_01,Bedroom,1,-36,1
82,284.0,Bedroom,run_01,Bedroom,1,-36,1
83,288.0,Bedroom,run_01,Bedroom,1,-36,1
84,291.0,Bedroom,run_01,Bedroom,1,-37,1
85,295.0,Bedroom,run_01,Bedroom,1,-40,1
86,298.0,Bedroom,run_01,Bedroom,1,-54,1
