scan_id,timestamp_s,location,run_id,ssid,channel,rssi,found
1,0.0,Living_Room,run_01,Living_Room,1,-58,1
2,4.0,Living_Room,run_01,Living_Room,1,-59,1
3,7.0,Living_Room,run_01,Living_Room,1,-56,1
4,11.0,Living_Room,run_01,Living_Room,1,-58,1
5,14.0,Living_Room,run_01,Living_Room,1,-56,1
6,18.0,Living_Room,run_01,Living_Room,1,-59,1
7,21.0,Living_Room,run_01,Living_Room,1,-60,1
8,25.0,Living_Room,run_01,Living_Room,1,-56,1
9,28.0,Living_Room,run_01,Living_Room,1,-61,1
10,32.0,Living_Room,run_01,Living_Room,1,-60,1
11,35.0,Living_Room,run_01,Living_Room,1,-58,1
12,39.0,Living_Room,run_01,Living_Room,1,-57,1
13,42.0,Living_Room,run_01,Living_Room,1,-58,1
14,46.0,Living_Room,run_01,Living_Room,1,-57,1
15,49.0,Living_Room,run_01,Living_Room,1,-58,1
16,53.0,Living_Room,run_01,Living_Room,1,-58,1
17,56.0,Living_Room,run_01,Living_Room,1,-58,1
18,60.0,Living_Room,run_01,Living_Room,1,-57,1
19,63.0,Living_Room,run_01,Living_Room,1,-57,1
20,67.0,Living_Room,run_01,Living_Room,1,-58,1
21,71.0,Living_Room,run_01,Living_Room,1,-58,1
22,74.0,Living_Room,run_01,Living_Room,1,-58,1
23,78.0,Living_Room,run_01,Living_Room,1,-58,1
24,81.0,Living_Room,run_01,Living_Room,1,-59,1
25,85.0,Living_Room,run_01,Living_Room,1,-57,1
26,88.0,Living_Room,run_01,Living_Room,1,-58,1
27,92.0,Living_Room,run_01,Living_Room,1,-59,1
28,95.0,Living_Room,run_01,Living_Room,1,-58,1
29,99.0,Living_Room,run_01,Living_Room,1,-58,1
30,102.0,Living_Room,run_01,Living_Room,1,-58,1
31,106.0,Living_Room,run_01,Living_Room,1,-59,1
32,109.0,Living_Room,run_01,Living_Room,1,-57,1
33,113.0,Living_Room,run_01,Living_Room,1,-59,1
34,116.0,Living_Room,run_01,Living_Room,1,-58,1
35,120.0,Living_Room,run_01,Living_Room,1,-57,1
36,123.0,Living_Room,run_01,Living_Room,1,-58,1
37,127.0,Living_Room,run_01,Living_Room,1,-57,1
38,130.0,Living_Room,run_01,Living_Room,1,-58,1
39,134.0,Living_Room,run_01,Living_Room,1,-57,1
40,137.0,Living_Room,run_01,Living_Room,1,-58,1
41,141.0,Living_Room,run_01,Living_Room,1,-57,1
42,144.0,Living_Room,run_01,Living_Room,1,-57,1
43,148.0,Living_Room,run_01,Living_Room,1,-57,1
44,151.0,Living_Room,run_01,Living_Room,1,-57,1
45,155.0,Living_Room,run_01,Living_Room,1,-58,1
46,158.0,Living_Room,run_01,Living_Room,1,-57,1
47,162.0,Living_Room,run_01,Living_Room,1,-59,1
48,165.0,Living_Room,run_01,Living_Room,1,-57,1
49,169.0,Living_Room,run_01,Living_Room,1,-58,1
50,172.0,Living_Room,run_01,Living_Room,1,-57,1
51,176.0,Living_Room,run_01,Living_Room,1,-57,1
52,179.0,Living_Room,run_01,Living_Room,1,-57,1
53,183.0,Living_Room,run_01,Living_Room,1,-57,1
54,186.0,Living_Room,run_01,Living_Room,1,-58,1
55,190.0,Living_Room,run_01,Living_Room,1,-58,1
56,193.0,Living_Room,run_01,Living_Room,1,-57,1
57,197.0,Living_Room,run_01,Living_Room,1,-56,1
58,200.0,Living_Room,run_01,Living_Room,1,-58,1
59,204.0,Living_Room,run_01,Living_Room,1,-59,1
60,207.0,Living_Room,run_01,Living_Room,1,-58,1
61,211.0,Living_Room,run_01,Living_Room,1,-57,1
62,214.0,Living_Room,run_01,Living_Room,1,-57,1
63,218.0,Living_Room,run_01,Living_Room,1,-57,1
64,221.0,Living_Room,run_01,Living_Room,1,-57,1
65,225.0,Living_Room,run_01,Living_Room,1,-58,1
66,228.0,Living_Room,run_01,Living_Room,1,-58,1
67,232.0,Living_Room,run_01,Living_Room,1,-55,1
68,235.0,Living_Room,run_01,Living_Room,1,-58,1
69,239.0,Living_Room,run_01,Living_Room,1,-58,1
70,242.0,Living_Room,run_01,Living_Room,1,-59,1
71,246.0,Living_Room,run_01,Living_Room,1,-58,1
72,250.0,Living_Room,run_01,Living_Room,1,-57,1
73,253.0,Living_Room,run_01,Living_Room,1,-57,1
74,257.0,Living_Room,run_01,Living_Room,1,-57,1
75,260.0,Living_Room,run_01,Living_Room,1,-57,1
76,264.0,Living_Room,run_01,Living_Room,1,-58,1
77,267.0,Living_Room,run_01,Living_Room,1,-57,1
78,271.0,Living_Room,run_01,Living_Room,1,-58,1
79,274.0,Living_Room,run_01,Living_Room,1,-57,1
80,278.0,Living_Room,run_01,Living_Room,1,-58,1
81,281.0,Living_Room,run_01,Living_Room,1,-58,1
82,285.0,Living_Room,run_01,Living_Room,1,-57,1
83,288.0,Living_Room,run_01,Living_Room,1,-58,1
84,292.0,Living_Room,run_01,Living_Room,1,-58,1
85,295.0,Living_Room,run_01,Living_Room,1,-58,1
86,299.0,Living_Room,run_01,Living_Room,1,-59,1
