scan_id,timestamp_s,location,run_id,ssid,channel,rssi,found
1,0.0,Master_Bedroom,run_02,Master_Bedroom,1,-65,1
2,4.0,Master_Bedroom,run_02,Master_Bedroom,1,-68,1
3,7.0,Master_Bedroom,run_02,Master_Bedroom,1,-66,1
4,11.0,Master_Bedroom,run_02,Master_Bedroom,1,-65,1
5,14.0,Master_Bedroom,run_02,Master_Bedroom,1,-66,1
6,18.0,Master_Bedroom,run_02,Master_Bedroom,1,-66,1
7,21.0,Master_Bedroom,run_02,Master_Bedroom,1,-66,1
8,25.0,Master_Bedroom,run_02,Master_Bedroom,1,-66,1
9,28.0,Master_Bedroom,run_02,Master_Bedroom,1,-66,1
10,32.0,Master_Bedroom,run_02,Master_Bedroom,1,-67,1
11,35.0,Master_Bedroom,run_02,Master_Bedroom,1,-67,1
12,39.0,Master_Bedroom,run_02,Master_Bedroom,1,-66,1
13,42.0,Master_Bedroom,run_02,Master_Bedroom,1,-65,1
14,46.0,Master_Bedroom,run_02,Master_Bedroom,1,-65,1
15,49.0,Master_Bedroom,run_02,Master_Bedroom,1,-63,1
16,53.0,Master_Bedroom,run_02,Master_Bedroom,1,-65,1
17,56.0,Master_Bedroom,run_02,Master_Bedroom,1,-65,1
18,60.0,Master_Bedroom,run_02,Master_Bedroom,1,-66,1
19,63.0,Master_Bedroom,run_02,Master_Bedroom,1,-66,1
20,67.0,Master_Bedroom,run_02,Master_Bedroom,1,-66,1
21,70.0,Master_Bedroom,run_02,Master_Bedroom,1,-62,1
22,74.0,Master_Bedroom,run_02,Master_Bedroom,1,-66,1
23,77.0,Master_Bedroom,run_02,Master_Bedroom,1,-62,1
24,81.0,Master_Bedroom,run_02,Master_Bedroom,1,-65,1
25,84.0,Master_Bedroom,run_02,Master_Bedroom,1,-65,1
26,88.0,Master_Bedroom,run_02,Master_Bedroom,1,-67,1
27,91.0,Master_Bedroom,run_02,Master_Bedroom,1,-67,1
28,95.0,Master_Bedroom,run_02,Master_Bedroom,None,None,0
29,98.0,Master_Bedroom,run_02,Master_Bedroom,1,-68,1
30,102.0,Master_Bedroom,run_02,Master_Bedroom,1,-66,1
31,106.0,Master_Bedroom,run_02,Master_Bedroom,1,-71,1
32,109.0,Master_Bedroom,run_02,Master_Bedroom,1,-68,1
33,113.0,Master_Bedroom,run_02,Master_Bedroom,1,-67,1
34,116.0,Master_Bedroom,run_02,Master_Bedroom,1,-66,1
35,120.0,Master_Bedroom,run_02,Master_Bedroom,1,-66,1
