scan_id,timestamp_s,location,run_id,ssid,channel,rssi,found
1,0.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-74,1
2,4.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
3,7.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-79,1
4,11.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-70,1
5,14.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-73,1
6,18.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
7,21.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-71,1
8,25.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-71,1
9,28.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
10,32.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
11,35.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-73,1
12,39.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
13,42.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
14,46.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
15,49.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-71,1
16,53.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
17,57.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
18,60.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-73,1
19,64.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-73,1
20,67.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
21,71.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
22,74.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
23,78.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
24,81.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
25,85.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
26,88.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
27,92.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
28,95.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
29,99.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
30,102.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
31,106.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-71,1
32,109.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
33,113.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
34,116.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
35,120.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-73,1
36,123.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
37,127.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
38,130.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
39,134.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-73,1
40,137.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-73,1
41,141.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
42,144.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-71,1
43,148.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-73,1
44,151.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
45,155.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-73,1
46,158.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
47,162.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
48,165.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-73,1
49,169.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
50,172.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
51,176.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
52,179.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
53,183.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
54,186.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
55,190.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
56,193.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
57,197.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-73,1
58,200.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
59,204.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
60,207.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-73,1
61,211.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-71,1
62,214.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
63,218.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-72,1
64,221.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-73,1
