scan_id,timestamp_s,location,run_id,ssid,channel,rssi,found
1,0.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-70,1
2,3.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-67,1
3,7.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-67,1
4,10.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-71,1
5,14.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
6,17.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-68,1
7,21.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
8,24.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-68,1
9,28.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
10,32.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
11,35.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
12,39.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-68,1
13,42.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
14,46.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-68,1
15,49.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-68,1
16,53.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-68,1
17,56.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
18,60.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-68,1
19,63.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-68,1
20,67.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
21,70.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-68,1
22,74.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
23,77.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
24,81.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
25,84.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-64,1
26,88.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
27,91.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
28,95.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
29,98.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-68,1
30,102.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-68,1
31,105.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
32,109.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
33,112.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
34,116.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-68,1
35,119.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-68,1
36,123.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
37,126.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
38,130.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
39,133.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-67,1
40,137.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-68,1
41,140.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
42,144.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
43,147.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
44,151.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-68,1
45,154.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
46,158.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
47,161.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-68,1
48,165.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
49,168.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
50,172.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
51,175.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
52,179.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
53,182.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
54,186.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-68,1
55,189.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
56,193.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
57,196.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
58,200.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-68,1
59,203.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
60,207.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
61,211.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
62,214.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
63,218.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-67,1
64,221.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-68,1
65,225.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
66,228.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
67,232.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-68,1
68,235.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-68,1
69,239.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
70,242.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
71,246.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
72,249.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
73,253.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
74,256.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-68,1
75,260.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-68,1
76,263.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
77,267.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-68,1
78,270.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-68,1
79,274.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
80,277.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
81,281.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
82,284.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
83,288.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
84,291.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
85,295.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
86,298.0,Upstairs_Hallway,run_01,Upstairs_Hallway,1,-69,1
