location,run_id,mean_rssi,min_rssi,max_rssi,std_rssi,sample_count,detection_rate
Kitchen,run_01,-61.187134502923975,-63.0,-59.0,0.951814662836619,171,1.0
Kitchen,run_02,-69.53488372093024,-73.0,-65.0,2.0903007068705795,86,1.0
Kitchen,run_03,-68.30232558139535,-76.0,-64.0,2.718432798688421,86,1.0
Living_Room,run_01,-57.7093023255814,-61.0,-55.0,0.9439127460892884,86,1.0
Living_Room,run_02,-56.46511627906977,-63.0,-53.0,2.364928425324614,86,1.0
Living_Room,run_03,-57.15116279069768,-62.0,-52.0,2.7887059696124488,86,1.0
Upstairs_Hallway,run_01,-72.17441860465117,-79.0,-69.0,1.0081066757875583,86,1.0
Upstairs_Hallway,run_02,-68.59302325581395,-71.0,-64.0,0.8171385796034442,86,1.0
Upstairs_Hallway,run_03,-70.04651162790698,-72.0,-67.0,1.1872556268102454,86,1.0
Bedroom,run_01,-34.86046511627907,-54.0,-32.0,2.975044401834442,86,1.0
Bedroom,run_02,-41.11627906976744,-52.0,-32.0,5.294655695412927,86,1.0
Bedroom,run_03,-40.58139534883721,-50.0,-34.0,3.6988555186358414,86,1.0
Master_Bedroom,run_01,-67.72093023255815,-75.0,-61.0,2.9411928864111045,86,1.0
Master_Bedroom,run_02,-66.16470588235295,-72.0,-60.0,2.092202409990427,85,0.9883720930232558
Master_Bedroom,run_03,-65.4235294117647,-76.0,-62.0,2.494644122859998,85,0.9883720930232558
Spare_Room,run_01,-68.38372093023256,-78.0,-67.0,1.4403316991432116,86,1.0
Spare_Room,run_02,-70.56976744186046,-81.0,-66.0,3.805694487674456,86,1.0
Spare_Room,run_03,-76.06024096385542,-90.0,-67.0,4.240770171625121,83,0.9651162790697676
